"file","category","confidence","needs_visual_review","referenced","format","width","height","bytes","references"
"src/assets/NewHome/Testimonial3.png","photograph","medium","true","true","png","100","100","16808","src/components/constants/app.ts; src/components/constants/newHome.ts"
"src/assets/NewHome/Testimonial4.png","photograph","medium","true","true","png","100","100","20846","src/components/constants/app.ts; src/components/constants/newHome.ts"
"src/assets/NewHome/Testimonial5.png","photograph","medium","true","true","png","100","100","22952","src/components/constants/app.ts; src/components/constants/newHome.ts"
"src/assets/NewHome/app.png","illustration or photograph","low","true","true","png","1143","642","115831","src/components/constants/newHome.ts"
"src/assets/NewHome/audit.png","illustration or photograph","low","true","true","png","1143","639","1044770","src/components/constants/newHome.ts"
"src/assets/NewHome/device.png","product imagery","medium","true","true","png","1143","642","128917","src/components/constants/newHome.ts"
"src/assets/NewHome/kit.png","illustration or photograph","low","true","true","png","1143","639","511664","src/components/constants/newHome.ts"
"src/assets/NewHome/step1.png","illustration or photograph","low","true","true","png","1200","510","987743","src/components/constants/newHome.ts"
"src/assets/NewHome/step2.png","illustration or photograph","low","true","true","png","1200","510","824420","src/components/constants/newHome.ts"
"src/assets/NewHome/works1.png","illustration or photograph","low","true","true","png","1096","720","957069","src/components/constants/newHome.ts"
"src/assets/NewHome/works2.png","illustration or photograph","low","true","true","png","1096","720","1202746","src/components/constants/newHome.ts"
"src/assets/NewHome/works3.png","illustration or photograph","low","true","true","png","1096","720","770428","src/components/constants/newHome.ts"
"src/assets/Orders/OrderItemImage.png","product imagery","medium","true","true","png","100","100","22316","src/components/OrderDetails/OrderDetailsSection.astro; src/components/Orders/OrderCard.astro"
"src/assets/Protection/BathroomFloorImage.png","product imagery","medium","true","true","png","1440","611","1098507","src/components/constants/protection.ts"
"src/assets/Protection/Calm.png","product imagery","medium","true","true","png","322","214","113530","src/components/constants/protection.ts"
"src/assets/Protection/Caregivers.png","product imagery","medium","true","true","png","376","264","202464","src/components/constants/protection.ts"
"src/assets/Protection/Cleaning.png","product imagery","medium","true","true","png","322","214","120198","src/components/constants/protection.ts"
"src/assets/Protection/ContentImage.png","product imagery","medium","true","true","png","950","542","960075","src/components/Protection/DesignedFor.astro"
"src/assets/Protection/CtaImage.png","product imagery","medium","true","true","png","560","616","532988","src/components/constants/protection.ts"
"src/assets/Protection/Entry.png","product imagery","medium","true","true","png","393","248","157278","src/components/constants/protection.ts"
"src/assets/Protection/GrabBar.png","product imagery","medium","true","true","png","322","214","102089","src/components/constants/protection.ts"
"src/assets/Protection/HandleBar.png","product imagery","medium","true","true","png","322","214","132204","src/components/constants/protection.ts"
"src/assets/Protection/InstallImage1.png","product imagery","medium","true","true","png","1080","640","878983","src/components/constants/protection.ts"
"src/assets/Protection/InstallImage2.png","product imagery","medium","true","true","png","1080","640","898783","src/components/constants/protection.ts"
